name	name_ru	link	type	type_ru	subtype	subtype_ru	place	place_ru	lat	lon	lang	n_tokens	card_title	card_title_ru
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Zilo	Зило	42.7326849271676	46.3217620718405	Russian	227&nbsp;885	Daghestanian Russian	Дагестанский русский
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Itsari	Ицари	41.997634849241	47.5843546506572	Russian	227&nbsp;885	Daghestanian Russian	Дагестанский русский
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Kalib	Калиб	42.0700434215536	46.8612518446103	Russian	227&nbsp;885	Daghestanian Russian	Дагестанский русский
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Kina	Кина	41.6166	47.2647	Russian	227&nbsp;885	Daghestanian Russian	Дагестанский русский
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Mallakent	Маллакент	42.1731202031857	47.7944906228771	Russian	227&nbsp;885	Daghestanian Russian	Дагестанский русский
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Makhachkala	Махачкала	42.9783630890781	47.4828249266476	Russian	227&nbsp;885	Daghestanian Russian	Дагестанский русский
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Megeb	Мегеб	42.2528	47.0472	Russian	227&nbsp;885	Daghestanian Russian	Дагестанский русский
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Nikar	Никар	42.0752038246737	46.4117938699763	Russian	227&nbsp;885	Daghestanian Russian	Дагестанский русский
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Rikvani	Риквани	42.7814853152129	46.3174227964206	Russian	227&nbsp;885	Daghestanian Russian	Дагестанский русский
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Tlibisho	Тлибишо	42.5610279346735	46.3016299250685	Russian	227&nbsp;885	Daghestanian Russian	Дагестанский русский
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Tukita	Тукита	42.57056	46.37278	Russian	227&nbsp;885	Daghestanian Russian	Дагестанский русский
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Khiv	Хив	41.7516115516436	47.9289477688109	Russian	227&nbsp;885	Daghestanian Russian	Дагестанский русский
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Cukhta	Цухта	42.3434066080818	47.3297527348424	Russian	227&nbsp;885	Daghestanian Russian	Дагестанский русский
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Chishili	Чишили	42.1525537527337	47.6696656300581	Russian	227&nbsp;885	Daghestanian Russian	Дагестанский русский
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Chuni	Чуни	42.3497829967926	47.3027470388149	Russian	227&nbsp;885	Daghestanian Russian	Дагестанский русский
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Shalib	Шалиб	42.090877134908	46.917931536218	Russian	227&nbsp;885	Daghestanian Russian	Дагестанский русский
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Shangoda	Шангода	42.2462440441286	47.0005311482544	Russian	227&nbsp;885	Daghestanian Russian	Дагестанский русский
Corpus of Russian spoken in Daghestan	Корпус дагестанского русского	http://parasolcorpus.org/dagrus/	corpus	корпус	bilingual	билингвальный	Yangikent	Янгикент	42.205218594637	47.8278686163628	Russian	227&nbsp;885	Daghestanian Russian	Дагестанский русский
